127.0.0.1 - - [30/Sep/2015:21:47:53 +0200] "GET / HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:47:53 +0200] "GET /Oblig1/ HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:47:54 +0200] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:47:58 +0200] "GET /Oblig1/oppgave01.html HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:47:58 +0200] "GET /Oblig1/js/config.js HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:47:58 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 200 4417
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:47:58 +0200] "GET /Oblig1/js/controller.js HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:47:58 +0200] "GET /Oblig1/js/httpOperations.js HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:47:58 +0200] "GET /Oblig1/js/oppgave01.js HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:47:58 +0200] "GET /Oblig1/js/guiManager.js HTTP/1.1" 200 7182
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:47:59 +0200] "GET /Mservices/data/endringer/-1 HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:48:00 +0200] "GET /Mservices/data/endringer/0 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:48:02 +0200] "GET /Mservices/data/endringer/0 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:48:04 +0200] "GET /Mservices/data/endringer/0 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:48:06 +0200] "GET /Mservices/data/endringer/0 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:48:08 +0200] "GET /Mservices/data/endringer/0 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:48:10 +0200] "POST /Mservices/data/medlem HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:48:10 +0200] "GET /Mservices/data/endringer/0 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:48:12 +0200] "GET /Mservices/data/endringer/1 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:48:39 +0200] "GET /Oblig1/ HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:52:59 +0200] "GET /Oblig1/ HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:53:00 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:53:00 +0200] "GET /Oblig1/js/oppgave05.html HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:58:28 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:58:28 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:58:28 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:58:33 +0200] "POST /Statistics HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:58:57 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:58:57 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:58:57 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:58:59 +0200] "POST /Oblig1/Oblig1/Statistics HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:59:14 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:59:14 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:59:14 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [30/Sep/2015:21:59:16 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:00:06 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:00:06 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:00:06 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:00:26 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:00:26 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:00:26 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:00:27 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:28 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:28 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:28 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:29 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:29 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:01:29 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
